Loan purchased by the institution,2232,6
File closed for incompleteness,2043,1
Application approved but not accepted,2309,3
Application denied by financial institution,1747,23
Loan originated,553,199
Application withdrawn by applicant,1642,1
Loan originated,3390,1
Loan originated,656,162
Preapproval request approved but not accepted,493,4
File closed for incompleteness,529,12
Loan purchased by the institution,0451,661
Loan originated,0236,36309
Preapproval request denied by financial institution,1773,1
Loan purchased by the institution,829,7
Loan originated,4807,3
Application denied by financial institution,8,3072
Application approved but not accepted,3236,2
Preapproval request approved but not accepted,845,2
Application denied by financial institution,6030,1
Application denied by financial institution,3425,2
Application withdrawn by applicant,3996,10
File closed for incompleteness,6996,2
Preapproval request approved but not accepted,41,519
Loan purchased by the institution,6073,2
Application withdrawn by applicant,0073,91801
File closed for incompleteness,632,7
Loan originated,9575,1
Preapproval request approved but not accepted,65,347
Preapproval request denied by financial institution,0743,1
Loan originated,0339,10031
Loan originated,2399,29
Application denied by financial institution,2674,4
Loan originated,5734,2
Application approved but not accepted,1352,12
Loan purchased by the institution,5249,1
Loan originated,7794,1
Application approved but not accepted,3030,1
Preapproval request approved but not accepted,0026,3618
Loan originated,7515,4
File closed for incompleteness,3330,1
Application denied by financial institution,1682,1
Application withdrawn by applicant,3717,5
Application withdrawn by applicant,2863,3
Loan purchased by the institution,726,9
Application denied by financial institution,8193,1
Loan purchased by the institution,0554,343
Loan originated,6025,1
Loan purchased by the institution,623,17
Preapproval request approved but not accepted,0129,1652
Application denied by financial institution,1888,1
Preapproval request approved but not accepted,317,9
Application approved but not accepted,2382,2
Loan originated,1266,197
File closed for incompleteness,1219,9
Loan purchased by the institution,3365,2
Application approved but not accepted,2526,1
Loan originated,2566,4
Preapproval request denied by financial institution,399,3
Application denied by financial institution,6377,1
Loan originated,4704,13
Application denied by financial institution,4455,2
Application denied by financial institution,1541,36
Application denied by financial institution,644,24
Application approved but not accepted,675,15
Application approved but not accepted,5194,1
Preapproval request denied by financial institution,316,3
Application withdrawn by applicant,1464,6
Loan originated,4808,4
Application withdrawn by applicant,0980,124
Preapproval request denied by financial institution,698,1
Application approved but not accepted,0220,8176
Loan purchased by the institution,576,12
Loan originated,2924,22
Application denied by financial institution,3220,1
Application withdrawn by applicant,6426,1
Application withdrawn by applicant,11900,3
File closed for incompleteness,1190,24
Loan originated,2285,3
File closed for incompleteness,3907,1
Application approved but not accepted,4267,1
Application approved but not accepted,0426,480
Preapproval request denied by financial institution,0641,7
Loan purchased by the institution,1434,1
Application approved but not accepted,5091,1
Preapproval request denied by financial institution,0744,18
Loan originated,3851,6
Application withdrawn by applicant,0804,309
File closed for incompleteness,76,2327
Loan purchased by the institution,3160,1
Preapproval request denied by financial institution,36,1698
Application approved but not accepted,6851,1
Loan originated,2297,28
Application denied by financial institution,4559,1
Application approved but not accepted,1353,15
Preapproval request denied by financial institution,213,24
Application approved but not accepted,2383,2
Loan originated,0000378,1
Application approved but not accepted,1494,1
Preapproval request denied by financial institution,5439,1
Loan purchased by the institution,3366,3
Application withdrawn by applicant,588,51
Loan purchased by the institution,0452,704
Loan originated,4881,2
Application withdrawn by applicant,103,4442
Application withdrawn by applicant,1361,4
Preapproval request denied by financial institution,492,3
Loan purchased by the institution,521,34
Application denied by financial institution,4250,2
Loan originated,2912,3
Application withdrawn by applicant,5572,2
